entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,score_at_entry,pnl,return_pct,exit_reason
2025-09-27 17:00:00+00:00,2025-09-27 22:00:00+00:00,SHORT,109340.277744,109702.5151995706,0.018276887906567087,5,-3.6,-9.022625715046365,-0.004514924797361071,stop
2025-09-27 23:00:00+00:00,2025-09-28 14:00:00+00:00,SHORT,109593.415072,109830.16028589802,0.018218219745824996,15,4.1,-6.711580478537249,-0.0033615099855290142,stop
2025-09-28 15:00:00+00:00,2025-09-28 22:00:00+00:00,LONG,110159.967528,111152.188385245,0.018141351038255663,7,5.5,15.591285973087361,0.007801686792242467,stop
2025-09-28 23:00:00+00:00,2025-09-29 02:00:00+00:00,LONG,112287.42813599999,111591.31583917473,0.017825427354738306,3,3.5000000000000004,-14.802939749998426,-0.007395659131176783,stop
2025-09-29 03:00:00+00:00,2025-09-29 13:00:00+00:00,LONG,111990.00038399998,112245.71850663201,0.017846311544024666,10,5.9,2.1625569847718804,0.001082031349961115,stop
2025-09-29 14:00:00+00:00,2025-09-30 08:00:00+00:00,LONG,114195.53339999999,113525.81758182889,0.017505424551695976,18,3.2,-14.115475083125112,-0.007061122311463328,stop
2025-09-30 12:00:00+00:00,2025-10-01 08:00:00+00:00,LONG,113132.02327199999,114752.30102045948,0.017645012286064188,20,5.9,26.177207757238893,0.013113414849102098,stop
2025-10-01 09:00:00+00:00,2025-10-02 00:00:00+00:00,LONG,116548.073928,119302.62948230596,0.017172789759896584,15,4.4,44.87327468941831,0.022420320166543807,tp
2025-10-02 01:00:00+00:00,2025-10-02 15:00:00+00:00,LONG,118778.937192,118513.35224286937,0.01692587467674083,14,6.7,-6.905085296652521,-0.003434618396459499,stop
2025-10-02 16:00:00+00:00,2025-10-03 08:00:00+00:00,LONG,119919.11860799999,119424.81863764404,0.016753419359615416,16,4.5,-10.6871123039333,-0.005319471491352154,stop
2025-10-03 09:00:00+00:00,2025-10-03 15:00:00+00:00,LONG,120490.33521599999,120907.89149768348,0.016656241741537035,6,5.9,4.542446036344596,0.0022633960239747254,stop
2025-10-03 16:00:00+00:00,2025-10-05 02:00:00+00:00,LONG,122743.34618399998,122885.34805072146,0.01635791616651307,34,5.9,-0.08792952171073054,-4.379341110107488e-05,stop
2025-10-05 03:00:00+00:00,2025-10-05 04:00:00+00:00,LONG,123910.288992,123737.33976854249,0.016203721121429454,1,5.9,-5.210108852764839,-0.002594924144956198,stop
2025-10-05 05:00:00+00:00,2025-10-05 09:00:00+00:00,LONG,125236.97949599999,124023.81597061275,0.01602374090775819,4,3.9000000000000004,-21.835872252558843,-0.010881131181471281,stop
2025-10-05 10:00:00+00:00,2025-10-06 21:00:00+00:00,LONG,123146.44840799998,124479.05798713754,0.016260267910365285,35,4.7,19.252714531440898,0.009614847123951277,stop
2025-10-06 22:00:00+00:00,2025-10-07 06:00:00+00:00,LONG,125201.67127199999,123866.49668709662,0.016024130079750343,8,2.6,-23.789671660929365,-0.011857792876051265,stop
2025-10-07 07:00:00+00:00,2025-10-07 11:00:00+00:00,SHORT,123651.86930399999,124655.164416,0.016160583089326233,4,4.5,-18.6215058906487,-0.00931873766824431,signal
2025-10-07 12:00:00+00:00,2025-10-07 13:00:00+00:00,LONG,125103.76300799998,123959.47165444815,0.015968814984711494,1,3.2,-20.659323741765327,-0.010341250041108438,stop
