timestamp,open,high,low,close,volume
2025-09-27 04:00:00+00:00,109612.69,109801.42,109573.32,109718.15,113.08539326
2025-09-27 05:00:00+00:00,109718.16,109746.0,109646.34,109685.99,94.72743049
2025-09-27 06:00:00+00:00,109685.98,109687.0,109533.96,109590.68,40.72682133
2025-09-27 07:00:00+00:00,109590.59,109623.42,109381.45,109450.33,48.12883446
2025-09-27 08:00:00+00:00,109450.33,109450.33,109272.83,109305.03,101.25295012
2025-09-27 09:00:00+00:00,109305.03,109397.81,109116.0,109344.36,122.88019964
2025-09-27 10:00:00+00:00,109344.35,109538.69,109301.09,109487.36,53.86084534
2025-09-27 11:00:00+00:00,109487.35,109492.06,109322.87,109367.28,37.19915872
2025-09-27 12:00:00+00:00,109367.28,109539.99,109291.22,109447.55,73.47054805
2025-09-27 13:00:00+00:00,109447.55,109460.49,109350.01,109362.0,63.51790079
2025-09-27 14:00:00+00:00,109361.99,109454.03,109302.49,109344.62,72.80981663
2025-09-27 15:00:00+00:00,109352.01,109483.44,109239.81,109440.49,126.32413983
2025-09-27 16:00:00+00:00,109440.49,109470.33,109347.01,109440.82,97.3654224
2025-09-27 17:00:00+00:00,109432.0,109470.34,109287.96,109427.82,124.66674569
2025-09-27 18:00:00+00:00,109427.81,109482.96,109387.42,109470.0,56.82636288
2025-09-27 19:00:00+00:00,109470.01,109526.44,109416.56,109470.2,83.89670755
2025-09-27 20:00:00+00:00,109470.19,109490.17,109400.0,109441.02,59.32008845
2025-09-27 21:00:00+00:00,109441.02,109529.06,109441.02,109522.47,42.91163017
2025-09-27 22:00:00+00:00,109522.47,109756.84,109514.88,109654.43,66.07408945
2025-09-27 23:00:00+00:00,109651.17,109728.02,109493.0,109681.16,78.7543655
2025-09-28 00:00:00+00:00,109681.15,109840.85,109591.27,109663.65,90.66461479
2025-09-28 01:00:00+00:00,109663.65,109700.0,109371.03,109401.19,136.69086575
2025-09-28 02:00:00+00:00,109401.18,109591.88,109382.01,109492.71,82.91588079
2025-09-28 03:00:00+00:00,109492.71,109586.0,109452.71,109491.36,45.00488778
2025-09-28 04:00:00+00:00,109491.37,109533.44,109405.52,109425.67,44.14990543
2025-09-28 05:00:00+00:00,109425.67,109450.73,109389.01,109390.03,25.25640915
2025-09-28 06:00:00+00:00,109390.03,109498.03,109301.0,109455.86,36.82267084
2025-09-28 07:00:00+00:00,109455.85,109590.27,109389.45,109554.67,29.53966478
2025-09-28 08:00:00+00:00,109554.66,109625.0,109469.36,109561.97,58.13311912
2025-09-28 09:00:00+00:00,109561.97,109610.9,109367.84,109560.0,70.06569109
2025-09-28 10:00:00+00:00,109559.99,109560.0,109401.12,109413.15,24.18368935
2025-09-28 11:00:00+00:00,109413.16,109490.72,109292.15,109418.27,78.82806715
2025-09-28 12:00:00+00:00,109419.99,109500.0,109230.98,109354.09,111.92112936
2025-09-28 13:00:00+00:00,109354.09,109705.99,109354.09,109658.54,75.30879141
2025-09-28 14:00:00+00:00,109659.81,109919.9,109526.41,109876.39,82.63017363
2025-09-28 15:00:00+00:00,109876.39,110071.91,109735.69,110071.91,114.80436317
2025-09-28 16:00:00+00:00,110068.02,110423.55,110025.0,110235.02,132.17654669
2025-09-28 17:00:00+00:00,110235.01,110400.0,110150.0,110227.69,159.65900821
2025-09-28 18:00:00+00:00,110227.69,110311.65,110082.9,110311.65,70.42663004
2025-09-28 19:00:00+00:00,110311.65,110402.49,110134.21,110356.68,71.72871495
2025-09-28 20:00:00+00:00,110356.68,110978.71,110300.19,110840.8,154.92578227
2025-09-28 21:00:00+00:00,110840.79,110931.0,110662.29,110862.36,120.66122043
2025-09-28 22:00:00+00:00,110867.27,112058.74,110866.0,111969.35,339.98750049
2025-09-28 23:00:00+00:00,111969.36,112385.84,111969.36,112197.67,240.6118176
2025-09-29 00:00:00+00:00,112197.66,112348.19,112011.2,112295.41,295.87694654
2025-09-29 01:00:00+00:00,112295.4,112346.77,111748.87,111885.71,179.11426216
2025-09-29 02:00:00+00:00,111885.72,112057.99,111653.29,111772.57,183.88314329
2025-09-29 03:00:00+00:00,111772.57,111900.48,111607.05,111900.48,116.50566253
2025-09-29 04:00:00+00:00,111900.47,111943.61,111763.56,111839.4,97.17839972
2025-09-29 05:00:00+00:00,111841.44,111854.0,111600.36,111796.29,100.65890486
2025-09-29 06:00:00+00:00,111796.28,111900.0,111659.49,111671.39,132.58865833
2025-09-29 07:00:00+00:00,111671.38,111910.5,111582.65,111910.49,112.61586663
2025-09-29 08:00:00+00:00,111910.48,112458.48,111910.48,112123.2,194.51793324
2025-09-29 09:00:00+00:00,112123.21,112243.02,112015.81,112136.45,93.57597017
2025-09-29 10:00:00+00:00,112136.45,112266.98,112042.3,112126.54,111.81608094
2025-09-29 11:00:00+00:00,112123.21,112156.2,111950.0,112144.59,127.86562566
2025-09-29 12:00:00+00:00,112144.59,112550.0,111972.56,112059.98,167.05968329
2025-09-29 13:00:00+00:00,112059.5,113545.3,111940.72,113277.99,723.70464397
2025-09-29 14:00:00+00:00,113278.0,114323.68,113263.49,114104.25,744.05440702
2025-09-29 15:00:00+00:00,114104.25,114211.49,113753.26,113884.28,365.76206959
2025-09-29 16:00:00+00:00,113885.1,114134.2,113660.27,113692.27,238.86936445
2025-09-29 17:00:00+00:00,113692.26,114242.85,113510.13,114121.47,286.57204677
2025-09-29 18:00:00+00:00,114121.47,114218.16,113931.04,114088.0,179.24982408
2025-09-29 19:00:00+00:00,114086.02,114473.0,113916.0,114325.41,319.07487149
2025-09-29 20:00:00+00:00,114325.41,114490.0,114186.16,114313.95,380.94787251
2025-09-29 21:00:00+00:00,114310.0,114410.82,114151.05,114237.31,156.50858826
2025-09-29 22:00:00+00:00,114237.31,114282.2,114069.15,114240.61,98.39953714
2025-09-29 23:00:00+00:00,114240.61,114454.97,114240.61,114365.07,147.01743694
2025-09-30 00:00:00+00:00,114361.66,114825.08,114105.99,114590.52,199.38181525
2025-09-30 01:00:00+00:00,114590.51,114850.0,114336.97,114587.91,174.31845537
2025-09-30 02:00:00+00:00,114587.92,114671.47,114421.06,114529.02,124.59924968
2025-09-30 03:00:00+00:00,114529.02,114600.78,114363.01,114429.15,100.64010931
2025-09-30 04:00:00+00:00,114432.01,114432.01,114142.71,114147.65,99.37394822
2025-09-30 05:00:00+00:00,114147.63,114268.04,113884.29,113952.0,133.17328903
2025-09-30 06:00:00+00:00,113954.01,114139.62,113884.28,113956.62,83.23439927
2025-09-30 07:00:00+00:00,113956.33,114049.98,113639.77,113757.98,176.1234811
2025-09-30 08:00:00+00:00,113757.99,113798.37,113377.51,113496.13,194.67969737
2025-09-30 09:00:00+00:00,113501.98,113501.98,112777.01,112823.98,235.67753018
2025-09-30 10:00:00+00:00,112823.97,113123.0,112695.85,112956.27,198.35340695
2025-09-30 11:00:00+00:00,112959.08,113178.0,112837.67,113090.86,145.78903772
2025-09-30 12:00:00+00:00,113090.85,113312.54,113020.3,113041.59,169.73539623
2025-09-30 13:00:00+00:00,113041.59,113739.97,112895.88,113444.82,298.50871674
2025-09-30 14:00:00+00:00,113444.81,113670.6,112940.99,113632.03,218.43580106
2025-09-30 15:00:00+00:00,113632.03,113641.34,112930.03,113135.87,312.26216847
2025-09-30 16:00:00+00:00,113135.87,113300.0,112803.57,112854.88,169.07369292
2025-09-30 17:00:00+00:00,112854.87,113531.42,112819.04,113260.87,225.828187
2025-09-30 18:00:00+00:00,113260.87,113738.55,113185.02,113726.21,262.3436126
2025-09-30 19:00:00+00:00,113726.21,114600.0,113710.5,114378.49,783.73243773
2025-09-30 20:00:00+00:00,114378.49,114727.95,114138.63,114642.0,256.57346882
2025-09-30 21:00:00+00:00,114641.98,114782.82,114143.66,114178.42,184.61721318
2025-09-30 22:00:00+00:00,114178.42,114374.99,113900.0,113947.57,152.25388587
2025-09-30 23:00:00+00:00,113947.57,114067.71,113760.05,114067.71,145.38258179
2025-10-01 00:00:00+00:00,114067.71,114314.94,113975.5,114254.23,182.51742924
